DEPARTMENT,DISTRICT,MUNICIPALITY,MALE_POP,FEMALE_POP,AGE_0_14,AGE_65,LITERATE,RURAL,URBAN,POPULATION,P.14.YOUNGER,P.65.OLDER,P.LITERATE,P.RURAL,P.MALE
Beni,60,Reyes,6893,6353,4931,687,8070,6044,7202,13246,0.372263325,0.051864714,0.970535177,0.456288691,0.520383512
Beni,60,Santa_Rosa,4893,4585,3619,455,5655,4751,4727,9478,0.38183161,0.048005908,0.965181772,0.50126609,0.516248154
Beni,61,Santa_Ana_del_Yacuma,9374,9065,6911,961,10880,6248,12191,18439,0.374803406,0.052117794,0.943789035,0.338847009,0.508378979
Beni,61,Exaltacion,3393,2969,2334,239,3789,6362,0,6362,0.366865765,0.037566803,0.940665343,1,0.533322854
Beni,61,San_Joaquin,3834,3083,2324,335,4504,2361,4556,6917,0.335983808,0.048431401,0.980622687,0.341332948,0.55428654
Beni,61,San_Ramon,2678,2277,1848,262,3007,1410,3545,4955,0.372956609,0.052875883,0.967814612,0.284561049,0.540464178
Beni,61,Puerto_Siles,538,407,361,40,564,945,0,945,0.382010582,0.042328042,0.965753425,1,0.569312169
Beni,61,Magdalena,6051,5326,4119,650,7056,3321,8056,11377,0.362046234,0.057132812,0.972168641,0.29190472,0.53186253
Beni,61,Baures,3462,2503,1858,269,3974,3838,2127,5965,0.311483655,0.045096396,0.967616265,0.64341995,0.580385583
Beni,61,Huacaraje,2299,1812,1394,200,2651,2058,2053,4111,0.339090246,0.048649964,0.975708502,0.500608125,0.559231331
Beni,61,Guayaramerin,21473,20341,14338,2038,26981,6011,35803,41814,0.342899507,0.048739657,0.981984277,0.14375568,0.513536136
Pando,62,Cobija,23978,22289,15341,1283,30574,2147,44120,46267,0.331575421,0.027730348,0.988617991,0.046404565,0.51825275
Pando,62,Bella_Flor,2248,1661,1261,85,2512,3909,0,3909,0.322588897,0.021744692,0.948640483,1,0.575083141
Pando,62,Porvenir,4354,3594,2725,238,5118,3557,4391,7948,0.342853548,0.02994464,0.979896611,0.447533971,0.54781077
Pando,62,Bolpebra,1250,923,773,73,1292,2173,0,2173,0.355729406,0.03359411,0.922857143,1,0.575241601
Pando,63,Puerto_Rico,3495,2744,2498,163,3654,3506,2733,6239,0.400384677,0.026125982,0.976744186,0.56194903,0.560185927
Pando,63,San_Pedro ,1639,1352,1135,43,1775,2991,0,2991,0.379471749,0.014376463,0.956357759,1,0.547977265
Pando,63,Filadelfia,3310,2446,2196,148,3444,5756,0,5756,0.381514941,0.0257123,0.96741573,1,0.57505212
Pando,63,Puerto_Gonzales_Moreno,4415,3745,3468,242,4597,8160,0,8160,0.425,0.029656863,0.979752771,1,0.541053922
Pando,63,Santa_Rosa ,1442,953,870,30,1471,2395,0,2395,0.363256785,0.012526096,0.964590164,1,0.602087683
Pando,63,San_Lorenzo,4121,3531,3246,149,4264,7652,0,7652,0.424202823,0.019472033,0.967771221,1,0.538552013
Pando,63,Sena,4455,3803,3490,119,4610,5671,2587,8258,0.422620489,0.014410269,0.966862416,0.686728021,0.539476871
Pando,63,Ingavi,953,701,688,22,942,1654,0,1654,0.415961306,0.013301088,0.97515528,1,0.57617896
Pando,63,Nueva_Esperanza,1279,789,629,43,1406,2068,0,2068,0.304158607,0.020793037,0.977067408,1,0.618471954
Pando,63,Villa_Nueva,1512,1289,1236,66,1522,2801,0,2801,0.441270975,0.023563013,0.972523962,1,0.539807212
Pando,63,Santos_Mercado,1300,865,813,32,1327,2165,0,2165,0.37551963,0.0147806,0.981508876,1,0.600461894
