DEPARTMENT,DISTRICT,MUNICIPALITY,MALE_POP,FEMALE_POP,AGE_0_14,AGE_65,LITERATE,RURAL,URBAN,POPULATION,P.14.YOUNGER,P.65.OLDER,P.LITERATE,P.RURAL,P.MALE
Santa_Cruz,54,San_Ignacio_de_Velasco,26859,25503,20809,2260,30263,29236,23126,52362,0.397406516,0.043161071,0.959116407,0.558343837,0.512948321
Santa_Cruz,54,San_Rafael,3280,2859,2324,229,3687,2967,3172,6139,0.378563284,0.037302492,0.966448231,0.48330347,0.534288972
Santa_Cruz,55,La_Guardia,44924,44360,30056,2964,57513,10206,79078,89284,0.336633663,0.033197437,0.971044101,0.114309395,0.503158461
Santa_Cruz,55,Charagua,16719,15467,13372,1332,18163,28690,3496,32186,0.415460138,0.041384453,0.965398108,0.891381346,0.51944945
Santa_Cruz,55,Boyuibe,2591,2496,1708,254,3244,1686,3401,5087,0.335757814,0.049931197,0.960047351,0.331433065,0.509337527
Santa_Cruz,55,Cuevo,2524,2528,1828,321,3011,2577,2475,5052,0.361836896,0.063539192,0.933933002,0.510095012,0.499604117
Santa_Cruz,55,Camiri,16328,17510,10457,2162,22617,4983,28855,33838,0.309031267,0.063892665,0.967323895,0.147260476,0.482534429
Santa_Cruz,55,Cabezas,14326,12108,10085,966,15709,21725,4709,26434,0.381516229,0.036543845,0.960853875,0.821858213,0.541953545
Santa_Cruz,55,Lagunillas,2921,2445,2014,327,3104,5366,0,5366,0.375326127,0.060939247,0.92601432,1,0.544353336
Santa_Cruz,56,Porongo,8157,7160,5379,829,9518,11241,4076,15317,0.351178429,0.05412287,0.957737975,0.733890449,0.532545538
Santa_Cruz,56,El_Torno,25286,24366,16644,2402,30854,17854,31798,49652,0.335213083,0.048376702,0.934743093,0.359582696,0.509264481
Santa_Cruz,56,Quirusillas,1554,1441,835,188,2060,2995,0,2995,0.278797997,0.062771285,0.953703704,1,0.518864775
Santa_Cruz,56,Mairana,5293,4884,3506,551,6280,3421,6756,10177,0.344502309,0.054141692,0.941388098,0.336150142,0.52009433
Santa_Cruz,56,Pampa_Grande,4796,4402,3081,571,5696,5626,3572,9198,0.334964123,0.062078713,0.931175413,0.611654708,0.521417699
Santa_Cruz,56,Samaipata,5552,4920,3177,801,6834,6074,4398,10472,0.303380443,0.076489687,0.936806032,0.580022918,0.530175707
Santa_Cruz,56,Saipina,3910,3480,2818,376,4287,3300,4090,7390,0.381326116,0.050879567,0.937664042,0.446549391,0.529093369
Santa_Cruz,56,Comarapa,8103,7816,5982,914,9219,10604,5315,15919,0.375777373,0.057415667,0.927744792,0.666122244,0.509014385
Santa_Cruz,56,Moro_Moro,1442,1325,790,302,1811,2767,0,2767,0.28550777,0.109143477,0.916034396,1,0.521142031
Santa_Cruz,56,Trigal,1108,1027,565,217,1508,2135,0,2135,0.264637002,0.101639344,0.960509554,1,0.518969555
Santa_Cruz,56,Postrer_Valle,1297,1093,708,175,1519,2390,0,2390,0.29623431,0.073221757,0.903091558,1,0.542677824
Santa_Cruz,56,Vallegrande,8769,8439,4951,1776,11574,7050,10158,17208,0.287715016,0.10320781,0.94427674,0.409693166,0.509588563
Santa_Cruz,56,Pucara,1119,957,600,191,1390,2076,0,2076,0.289017341,0.092003854,0.941734417,1,0.539017341
Santa_Cruz,56,Gutierrez,6145,6128,5211,627,6631,12273,0,12273,0.424590565,0.051087754,0.938969131,1,0.500692577
Santa_Cruz,56,Buena_Vista,6934,5945,4392,826,7985,8474,4405,12879,0.341020266,0.064135414,0.940850713,0.657970339,0.538395838
Santa_Cruz,57,Yapacani,27371,23187,16604,1679,32138,17307,33251,50558,0.32841489,0.033209383,0.946515874,0.342319712,0.541378219
Santa_Cruz,57,San_Juan_de_Yapacani,5024,4167,3249,444,5701,3790,5401,9191,0.353497987,0.048308128,0.959441266,0.412359917,0.546621695
Santa_Cruz,57,San_Carlos,10451,9642,7286,1054,12080,7019,13074,20093,0.362613846,0.052456079,0.943234169,0.349325636,0.520131389
Santa_Cruz,57,Warnes,48999,47407,34593,3253,59922,15597,80809,96406,0.358826214,0.033742713,0.96940773,0.161784536,0.508256748
